词性,出现次数,COCA词频,词汇,,音标+释义
I,4,1991,beside,,英:/bɪ'saɪd/ 美:/bɪ'saɪd/,,,prep. 在旁边；与…相比；和…无关
I,3,1987,beneath,,英:/bɪ'niːθ/ 美:/bɪ'niθ/,,,1. prep. 在…之下 2. adv. 在下方
I,3,2873,prior,,英:/'praɪə/ 美:/'praɪɚ/,,,1. adj. 在先的，在前的；优先的 2. adv. 在前，居先
I,3,3180,versus,,英:/'vɜːsəs/ 美:/'vɝsəs/,,,prep. 对；与...相对；对抗
I,3,4236,alongside,,英:/əlɒŋ'saɪd/ 美:/ə'lɔŋ'saɪd/,,,在旁边
I,2,2304,vs,,,,,abbr. 对，相对（versus）
I,2,4474,behalf,,英:/bɪ'hɑːf/ 美:/bɪ'hæf/,,,代表；利益
I,2,5035,aboard,,英:/ə'bɔːd/ 美:/ə'bɔrd/,,,1. adv. 在火车上；在飞机上；在船上 2. prep. 在…上
I,1,7689,conjunction,,英:/kən'dʒʌŋ(k)ʃ(ə)n/ 美:/kən'dʒʌŋkʃən/,,,连词
I,1,8233,accordance,,英:/ə'kɔːd(ə)ns/ 美:/ə'kɔrdns/,,,符合，同意
I,1,10069,amidst,,英:/ə'mɪdst/ 美:/əˈmɪdst/,,,prep. 在…当中
J,427,88,new,,英:/njuː/ 美:/nu/,,,1. adj. 新的，新鲜的；更新的；初见的 2. adv. 新近
J,327,75,other,,英:/'ʌðə/ 美:/'ʌðɚ/,,,1. adj. 其他的，另外的 2. pron. 另外一个
J,291,110,good,,英:/gʊd/ 美:/ɡʊd/,,,1. adj. 愉快的；好的；虔诚的；优良的 2. n. 好处；慷慨的行为；善行
J,289,38930,m,,/em/,,,兆
J,288,254,long,,英:/lɒŋ/ 美:/lɔŋ/,,,1. n. 长时间；长音节 2. adj. 长的；做多头的；过长的
J,286,309,best,,英:/best/ 美:/bɛst/,,,1. n. 最好的人，最好的事物；最佳状态 2. adj. 最好的
J,246,632,single,,英:/'sɪŋg(ə)l/ 美:/'sɪŋɡl/,,,1. adj. 单一的；单身的；单程的 2. n. 单打；单程票；一个
